Month,electricity_consumption_GWh,HYDRO,Thermal,WIND,GEOTHERMAL,BAGASSE_BIOGAS,IMPORTS,SOLAR,Total,DC_1_Lifeline_0_30_per_kWh,DC_2_Ordinary_30_100_per_kWh,DC_3_Ordinary_100_15000_per_kWh,Small_Commercial_1_0_30_per_kWh,Small_Commercial_2_30per_kWh_100per_kWh,Small_Commercial_3_100per_kWh_1500per_kWh,SC3_Bulk_Supply_1000per_kWh_1500per_kWh,"Commercial_Industrial_1___415_V_>_15,000_per_kWh","Commercial_Industrial_2___11,000_V","Commercial_Industrial_3___33,000_V","Commercial_Industrial_4___66,000_V","Commercial_Industrial_5___132,000_V","Commercial_Industrial_6___220,000_V",Commercial_Industrial_7_SEZs,E_Mobility,Street_Lighting,Number_of_new_customers,Cummulative_Connections,400 kV Ketraco,220kv Ketraco & KenGen links,132kv Ketraco,Kplc,220 kV,132 kV,66 kV,33 kV,11 kV,Total HV and MV,415/240V or 433/250V,TOTAL,Renewable_Generation,Year,Month_num,Renewable_Share_%
2022-01-01,827.975292047804,320.2973402,206.228256,156.27578400000007,310.788637,0.004037,30.833299999999998,32.4395616,1056.8669158,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,26520.0,8619584.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,819.8053598000001,2022,1,78.0
2022-02-01,760.72600874,244.23371603999996,223.93781899999993,123.29119599999997,304.772904,0.054522,34.603470000000016,30.124475,961.0181020399998,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,60653.0,8680237.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,702.4768130399999,2022,2,73.0
2022-03-01,832.2084461899994,243.19171273799998,170.14932,201.76317600000007,410.348729,0.013683,31.597579999999986,35.152832999999994,1092.2170337379998,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,65538.0,8742789.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,890.4701337380001,2022,3,82.0
2022-04-01,804.9756421800002,228.86186423200004,125.78816900000011,179.24109299999975,441.39350699999994,0.040568,27.42602,31.072391599999996,1033.8236128319998,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,46404.0,8789181.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,880.6094238319997,2022,4,85.0
2022-05-01,849.6353824355119,284.037333432,79.6764469999999,152.7638930000004,521.4406299999999,0.031968,24.32424,33.23985860000001,1095.5143700320002,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,71718.0,8860593.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,991.5136830320005,2022,5,91.0
2022-06-01,850.7704657667418,264.857352414,83.08829500000009,181.06794799999972,493.85168199999987,0.021311,23.815350000000002,28.214846599999994,1074.9167850139997,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,59757.0,8919584.0,2030.98,724.0,1094.0339999999997,,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,968.0131400139995,2022,6,90.0
2022-07-01,865.5029272700002,252.389511756,104.33370700000002,208.4039240000001,520.688156,0.015187,19.35496,24.737173799999994,1129.922619556,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,27339.0,8946102.0,2030.98,724.0,1264.285,,1352.3,2349.916,1226.8554,39167.6037,44077.0279,93446.968,217784.4192,311231.3872,1006.2339525560001,2022,7,89.0
2022-08-01,831.0893670235217,256.76320307200007,120.53696999999984,185.69790300000005,513.475005,0.017696,16.52292,22.425731599999985,1115.439428672,15.936600000000002,15.9366,21.8656,15.9366,21.6236,,,19.66251111111111,17.081965714285715,17.508697674418606,16.801933333333334,16.124784615384616,,,,13.2746,21980.0,8967950.0,2030.98,724.0,1264.285,,1352.3,2349.916,1226.8554,39167.6037,44077.0279,93446.968,217784.4192,311231.3872,978.3795386720001,2022,8,88.0
2022-09-01,856.8460213817596,243.88913823999997,118.113487,200.557338,487.63033,0.005523,24.32059,26.321638,1100.83804424,19.2745,19.2745,25.203500000000005,19.2745,24.9615,,,23.00041111111111,20.419865714285717,20.846597674418604,20.139833333333332,19.462684615384614,,,,16.6125,19506.0,8986142.0,2030.98,724.0,1264.285,,1352.3,2349.916,1226.8554,39167.6037,44077.0279,93446.968,217784.4192,311231.3872,958.4039672399999,2022,9,87.0
2022-10-01,863.554141566,247.41410725400002,96.40293729999995,237.49293700000032,478.09263774,0.002819,26.47356,38.772006999999995,1124.6510052940002,19.736341,19.736341,25.665340999999998,19.736341,25.423341,,,23.46225211111111,20.881706714285716,21.308438674418603,20.60167433333333,19.924525615384617,,,,17.074341,14567.0,8996857.0,2030.98,724.0,1264.285,,1352.3,2349.916,1226.8554,39167.6037,44077.0279,93446.968,217784.4192,311231.3872,1001.7745079940004,2022,10,89.0
